"Plot Title: spawning_tank"
"#","Date Time, GMT-10:00","Temp, °C (LGR S/N: 10635918, SEN S/N: 10635918)","Intensity, Lux (LGR S/N: 10635918, SEN S/N: 10635918)","Coupler Attached (LGR S/N: 10635918)","Coupler Detached (LGR S/N: 10635918)","Host Connected (LGR S/N: 10635918)","Stopped (LGR S/N: 10635918)","End Of File (LGR S/N: 10635918)"
1,06/04/16 05:00:00 PM,27.173,4133.4,,,,,
2,06/04/16 05:15:00 PM,26.781,1463.9,,,,,
3,06/04/16 05:30:00 PM,26.781,2497.2,,,,,
4,06/04/16 05:45:00 PM,26.683,1291.7,,,,,
5,06/04/16 06:00:00 PM,26.683,1001.0,,,,,
6,06/04/16 06:15:00 PM,26.683,1270.1,,,,,
7,06/04/16 06:30:00 PM,26.585,667.4,,,,,
8,06/04/16 06:45:00 PM,26.585,376.7,,,,,
9,06/04/16 07:00:00 PM,26.585,226.0,,,,,
10,06/04/16 07:15:00 PM,26.585,21.5,,,,,
11,06/04/16 07:30:00 PM,26.585,0.0,,,,,
12,06/04/16 07:45:00 PM,26.585,0.0,,,,,
13,06/04/16 08:00:00 PM,26.585,0.0,,,,,
14,06/04/16 08:15:00 PM,26.390,0.0,,,,,
15,06/04/16 08:30:00 PM,26.292,0.0,,,,,
16,06/04/16 08:45:00 PM,26.195,0.0,,,,,
17,06/04/16 09:00:00 PM,26.097,0.0,,,,,
18,06/04/16 09:15:00 PM,26.000,0.0,,,,,
19,06/04/16 09:30:00 PM,25.902,0.0,,,,,
20,06/04/16 09:45:00 PM,25.805,0.0,,,,,
21,06/04/16 10:00:00 PM,25.708,0.0,,,,,
22,06/04/16 10:15:00 PM,25.610,0.0,,,,,
23,06/04/16 10:30:00 PM,25.610,0.0,,,,,
24,06/04/16 10:45:00 PM,25.805,0.0,,,,,
25,06/04/16 11:00:00 PM,26.000,0.0,,,,,
26,06/04/16 11:15:00 PM,26.097,0.0,,,,,
27,06/04/16 11:30:00 PM,26.195,0.0,,,,,
28,06/04/16 11:45:00 PM,26.195,0.0,,,,,
29,06/05/16 12:00:00 AM,26.097,0.0,,,,,
30,06/05/16 12:15:00 AM,26.195,0.0,,,,,
31,06/05/16 12:30:00 AM,26.195,0.0,,,,,
32,06/05/16 12:45:00 AM,26.195,0.0,,,,,
33,06/05/16 01:00:00 AM,26.097,0.0,,,,,
34,06/05/16 01:15:00 AM,26.097,0.0,,,,,
35,06/05/16 01:30:00 AM,26.097,0.0,,,,,
36,06/05/16 01:45:00 AM,26.097,0.0,,,,,
37,06/05/16 02:00:00 AM,26.097,0.0,,,,,
38,06/05/16 02:15:00 AM,26.097,0.0,,,,,
39,06/05/16 02:30:00 AM,26.097,0.0,,,,,
40,06/05/16 02:45:00 AM,26.097,0.0,,,,,
41,06/05/16 03:00:00 AM,26.097,0.0,,,,,
42,06/05/16 03:15:00 AM,26.000,0.0,,,,,
43,06/05/16 03:30:00 AM,25.902,0.0,,,,,
44,06/05/16 03:45:00 AM,25.902,0.0,,,,,
45,06/05/16 04:00:00 AM,25.805,0.0,,,,,
46,06/05/16 04:15:00 AM,25.805,0.0,,,,,
47,06/05/16 04:30:00 AM,25.708,0.0,,,,,
48,06/05/16 04:45:00 AM,25.805,0.0,,,,,
49,06/05/16 05:00:00 AM,26.000,0.0,,,,,
50,06/05/16 05:15:00 AM,25.902,0.0,,,,,
51,06/05/16 05:30:00 AM,25.902,0.0,,,,,
