Date	Sample.Time	Sample.Rep	Sample.ID	Time	Spawn
6-Jun-16	Time4	Time4-rep1	T4-1-includes-adapter_S1	18:00	NO
6-Jun-16	Time4	Time4-rep2	T4-10-includes-adapter_S1	18:00	YES
6-Jun-16	Time4	Time4-rep3	T4-16-includes-adapter_S1	18:00	YES
6-Jun-16	Time4	Time4-rep4	T4-17-includes-adapter_S1	18:00	NO
6-Jun-16	Time4	Time4-rep5	T4-6-includes-adapter_S1	18:00	NO
6-Jun-16	Time4	Time4-rep6	T4-8-includes-adapter_S1	18:00	YES
6-Jun-16	Time5	Time5-rep1	T5-1-includes-adapter_S2	20:00	NO
6-Jun-16	Time5	Time5-rep2	T5-10-includes-adapter_S2	20:00	YES
6-Jun-16	Time5	Time5-rep3	T5-16-includes-adapter_S2	20:00	YES
6-Jun-16	Time5	Time5-rep4	T5-17-includes-adapter_S2	20:00	NO
6-Jun-16	Time5	Time5-rep5	T5-6-includes-adapter_S2	20:00	NO
6-Jun-16	Time5	Time5-rep6	T5-8-includes-adapter_S2	20:00	YES
7-Jun-16	Time7	Time7_rep1	T7-1-includes-adapter_S3	0:00	NO
7-Jun-16	Time7	Time7_rep2	T7-10-includes-adapter_S3	0:00	YES
7-Jun-16	Time7	Time7_rep3	T7-16-includes-adapter_S3	0:00	YES
7-Jun-16	Time7	Time7_rep4	T7-17-includes-adapter_S3	0:00	NO
7-Jun-16	Time7	Time7_rep5	T7-6-includes-adapter_S3	0:00	NO
7-Jun-16	Time7	Time7_rep6	T7-8-includes-adapter_S3	0:00	YES
