


June 15: 
No spawning

June 16th:
15004
15005


June 17th:
15001
15002
15003
15005
15007
15010

Reef#	colony#
51	15001
51	15002
47	15003
42	15005
25	15007
19	15009
19	15010
10	15012
8	15013
8	15014
8	15015
5	15018



Time points	Date
0:00	June 16th, 2015
6:00	cancelled no liquid nitrogen
12:30	June 17th, 2015
18:30	June 17th, 2015
20:30	June 17th, 2015
22:00	June 17th, 2015
0:00	June 18th, 2015


























