"","x"
"1","TRINITY_DN84521_c1_g3_i1"
"2","TRINITY_DN85003_c3_g1_i6"
"3","TRINITY_DN82157_c2_g2_i4"
"4","TRINITY_DN71808_c7_g1_i2"
"5","TRINITY_DN80074_c2_g1_i11"
"6","TRINITY_DN79385_c5_g1_i7"
"7","TRINITY_DN78909_c1_g3_i6"
"8","TRINITY_DN75588_c3_g1_i11"
"9","TRINITY_DN77267_c2_g1_i11"
"10","TRINITY_DN83324_c2_g1_i1"
"11","TRINITY_DN85572_c3_g1_i6"
"12","TRINITY_DN66832_c1_g2_i3"
"13","TRINITY_DN84474_c0_g1_i4"
"14","TRINITY_DN67383_c3_g1_i12"
"15","TRINITY_DN84599_c1_g1_i3"
"16","TRINITY_DN81481_c3_g1_i3"
"17","TRINITY_DN68577_c6_g7_i1"
"18","TRINITY_DN81053_c1_g1_i9"
"19","TRINITY_DN73956_c1_g1_i1"
"20","TRINITY_DN79123_c1_g2_i8"
"21","TRINITY_DN82043_c0_g1_i2"
"22","TRINITY_DN78909_c1_g3_i8"
"23","TRINITY_DN72201_c2_g2_i3"
"24","TRINITY_DN67455_c1_g13_i1"
"25","TRINITY_DN12283_c0_g1_i1"
"26","TRINITY_DN75815_c0_g3_i1"
"27","TRINITY_DN77719_c1_g2_i16"
"28","TRINITY_DN84763_c6_g3_i1"
"29","TRINITY_DN69258_c5_g2_i1"
"30","TRINITY_DN68891_c1_g1_i1"
"31","TRINITY_DN82461_c3_g1_i1"
"32","TRINITY_DN128548_c0_g1_i1"
"33","TRINITY_DN78319_c0_g1_i7"
"34","TRINITY_DN85402_c1_g2_i14"
"35","TRINITY_DN84531_c2_g3_i7"
"36","TRINITY_DN68594_c4_g1_i1"
"37","TRINITY_DN68072_c0_g1_i6"
"38","TRINITY_DN78797_c1_g1_i13"
"39","TRINITY_DN81520_c2_g2_i1"
"40","TRINITY_DN79525_c2_g11_i2"
"41","TRINITY_DN81081_c1_g1_i4"
"42","TRINITY_DN86296_c6_g1_i2"
"43","TRINITY_DN68309_c0_g1_i1"
"44","TRINITY_DN83834_c1_g1_i17"
"45","TRINITY_DN80944_c3_g3_i1"
"46","TRINITY_DN71235_c4_g1_i7"
"47","TRINITY_DN80099_c0_g1_i1"
"48","TRINITY_DN74823_c2_g3_i1"
"49","TRINITY_DN71443_c1_g1_i2"
"50","TRINITY_DN83612_c0_g2_i12"
"51","TRINITY_DN66074_c1_g2_i5"
"52","TRINITY_DN79891_c0_g1_i3"
"53","TRINITY_DN79936_c5_g2_i18"
"54","TRINITY_DN79124_c2_g1_i5"
"55","TRINITY_DN82761_c1_g3_i8"
"56","TRINITY_DN79385_c5_g1_i9"
"57","TRINITY_DN85151_c5_g1_i17"
"58","TRINITY_DN76778_c3_g3_i1"
"59","TRINITY_DN74763_c0_g3_i2"
"60","TRINITY_DN71790_c3_g1_i6"
"61","TRINITY_DN65456_c5_g1_i1"
"62","TRINITY_DN72174_c0_g1_i11"
"63","TRINITY_DN80315_c0_g2_i8"
"64","TRINITY_DN84369_c2_g1_i19"
"65","TRINITY_DN84660_c0_g1_i14"
