T4-1	T5-1	T7-1	T4-6	T5-6	T7-6	T4-8	T5-8	T7-8
TRINITY_DN4656_c0_g1_i1	6.53080426705357	7.16393139540346	7.30723724612449	0	0	0	0	0	0
TRINITY_DN31432_c0_g1_i1	5.62102618946485	6.67905778549329	7.39728101975096	8.09957925430536	6.50609728640079	8.14582518123446	7.67125090634321	6.82714577919867	6.34573344745587
TRINITY_DN11412_c0_g1_i1	5.80606622608903	8.52269529469912	7.30086502075168	0	0	5.19444169207351	0	5.48989611635462	4.26993081009981
TRINITY_DN25943_c0_g1_i1	5.91974527695132	6.54331027606987	4.62011716502868	0	0	0	0	0	0
TRINITY_DN3451_c0_g1_i1	7.02043552777108	7.35140748432018	6.6526872536189	0	0	2.9865929673059	0	0	0
TRINITY_DN14328_c0_g1_i1	4.23702826775156	5.03298241669943	3.78083500173823	6.08487215192189	4.41913434086173	4.18974550493107	7.13895778128451	5.89195377934516	4.63343121035563
TRINITY_DN33750_c0_g1_i1	5.71457523885163	5.30202653370515	2.14990966753492	5.76380990728029	5.31734025107032	5.74270690150243	6.80902850771189	6.47393299170009	5.18527190559382
TRINITY_DN5408_c8_g9_i1	7.85400811855265	7.52317770892943	8.45662136600372	6.40565206128037	7.32899798304606	7.09342284655693	0	0	0
TRINITY_DN18710_c0_g1_i1	6.19390969944105	6.24766172934992	5.36660198251952	5.06690720345442	5.55593882799576	4.81352468929781	0	0	0
TRINITY_DN8484_c0_g1_i1	5.64886805292433	6.55891045762773	5.40275627948341	7.54026755372042	6.47208155013361	6.67599936078166	8.17945631121758	7.1017236039365	6.52768029835484
TRINITY_DN5305_c0_g2_i3	7.2743362172138	7.87978539653849	9.18776032534892	4.5053828490623	5.71611294212415	5.46665974506928	5.98452099616702	6.61731317775298	8.17647736732414
TRINITY_DN6269_c0_g1_i1	6.00211740375329	4.40367674612153	5.4194377644854	4.07724299893246	4.30932173048402	4.69955163252309	1.63691458035588	3.04299446361841	4.36029403651615
